"","hstart","hholiday","hweather","htraffic1","htraffic2","hspop","b","error"
"before19",4.0947305058,6.7492103116,15.0803763701,0.0000003768,-0.0000184675,0,47.1182014327,9.175
"after19",-11.8,17.05,0,0,0.00001529,0.00005783,-280.1,2.547
